Days,Show (MG8),Media Views,Play Duration - Decimal (minutes),Media Views
2020-12-18,Frieden,511,13650,511
2020-11-30,Wilder,507,17900,507
2020-11-12,Quartier des banques,506,11149,506
2020-11-08,Gotthard,506,8544,506
2021-01-07,Seitentriebe,505,8433,505
2021-02-15,Die göttliche Ordnung,503,10646,503
2020-11-10,Boys Are Us,502,5182,502
2020-12-18,Cleveland versus Wall Street,502,1511,502
2021-01-01,Eden für jeden,501,20148,501
2021-01-01,L heure du secret,501,11971,501
2021-03-08,Beyond Boobs,500,5298,500
2020-12-28,L heure du secret,499,12315,499
2021-03-07,Home,498,9342,498
2020-11-19,Seitentriebe,498,6653,498
2020-12-15,Metta da fein,497,6673,497
2020-11-10,Quartier des banques,496,10896,496
2021-01-05,Mary Queen of Scots,495,7476,495
2020-11-06,Zabardast: journal intime en haute altitude,494,1884,494
2021-01-06,Frieden,493,11957,493
2020-12-13,Wilder,492,18256,492
2021-02-19,Die göttliche Ordnung,489,16653,489
2020-12-04,Frieden,489,14349,489
2020-12-27,L heure du secret,484,11713,484
2021-01-18,Seitentriebe,484,8208,484
2021-03-03,Tatort – Schoggiläbe,482,11454,482
2021-02-27,Pandemie,482,8180,482
2020-12-28,Quartier des banques,480,14685,480
2020-12-30,Cellule de crise,479,14289,479
2020-11-19,War Photographer,478,4237,478
2021-03-11,Liebe und andere Unfälle,476,18814,476
2021-01-30,Seitentriebe,474,8900,474
2020-12-28,Seitentriebe,474,7645,474
2021-03-02,Tatort – Schoggiläbe,473,12873,473
2020-12-30,Nacht in der Schweiz,473,9858,473
2021-03-21,Es geschah am hellichten Tag,473,9570,473
2021-01-08,Seitentriebe,472,8479,472
2020-12-20,Metta da fein,471,5767,471
2020-12-01,Cellule de crise,469,10944,469
2020-12-19,Seitentriebe,469,7636,469
2020-12-09,Wilder,468,13426,468
2021-01-01,Nacht in der Schweiz,468,12410,468
2021-01-27,Seitentriebe,468,7485,468
2020-12-17,Advent; Advent,467,5128,467
2021-02-16,Die göttliche Ordnung,465,8989,465
2020-12-29,Seitentriebe,465,7459,465
2020-11-10,Das Fräulein,465,1719,465
2021-02-27,Tatort – Schoggiläbe,464,17432,464
2020-12-31,Frieden,464,12024,464
2021-01-23,Seitentriebe,463,7377,463
2021-01-02,Eden für jeden,462,17960,462
2020-11-17,Quartier des banques,462,10233,462
2021-01-25,Frieden,462,5388,462
2020-12-12,Wilder,460,15613,460
2020-11-07,Die Buchenwald-Kinder – Eine Schweizer Hilfsaktion,459,5251,459
2021-01-22,Seitentriebe,458,7351,458
2021-01-19,Seitentriebe,458,7189,458
2021-01-15,Seitentriebe,456,6051,456
2020-12-31,Eden für jeden,455,15168,455
2021-03-14,Beyond Boobs,455,6647,455
2021-01-08,Frieden,453,13063,453
2020-11-18,War Photographer,453,2883,453
2021-02-20,Die göttliche Ordnung,452,16455,452
2021-01-01,Quartier des banques,451,14374,451
2020-12-05,Wilder,449,14592,449
2021-03-05,Home,449,8844,449
2020-12-25,Seitentriebe,449,7330,449
2021-02-26,Pandemie,448,7487,448
2020-11-08,Die Buchenwald-Kinder – Eine Schweizer Hilfsaktion,447,6475,447
2020-12-23,Nacht in der Schweiz,447,5969,447
2021-03-25,Der Bestatter,446,12719,446
2021-01-13,Seitentriebe,445,7185,445
2021-03-07,In cammino sul crinale,445,4496,445
2021-01-02,Quartier des banques,444,15178,444
2021-01-28,Seitentriebe,444,7539,444
2020-12-01,Wilder,442,12970,442
2020-11-11,Arthur,442,1299,442
2020-12-07,Frieden,439,11414,439
2021-01-29,Seitentriebe,439,6578,439
2021-01-06,Mary Queen of Scots,439,6045,439
2021-01-03,Eden für jeden,438,16892,438
2021-01-11,Seitentriebe,437,7421,437
2020-12-02,Wilder,435,13189,435
2020-11-18,Clay Regazzoni - Leben am Limit,435,4643,435
2021-01-26,Seitentriebe,434,7878,434
2020-12-27,Quartier des banques,432,13953,432
2020-12-02,Frieden,431,11480,431
2020-11-22,War Photographer,430,2785,430
2020-12-27,Advent; Advent,429,5387,429
2020-12-18,Advent; Advent,429,4647,429
2021-03-04,Beyond Boobs,429,4537,429
2020-12-30,L heure du secret,427,10418,427
2021-01-03,Quartier des banques,425,14477,425
2020-12-20,Quartier des banques,425,14397,425
2020-12-21,Quartier des banques,424,12102,424
2020-11-29,Bis dass der Tod euch scheidet,423,9982,423
2021-02-18,Handyman,422,10234,422
2021-02-10,Quartier des banques,421,7054,421
2020-12-29,Quartier des banques,420,11508,420
2021-02-07,Seitentriebe,420,7440,420
2020-11-20,Seitentriebe,420,5625,420
2020-12-08,Advent; Advent,420,4745,420
2020-12-30,One More Jump,420,2297,420
2021-02-02,Seitentriebe,419,6688,419
2020-11-07,EMS-Chemie – Dunkle Helfer nach dem Zweiten Weltkrieg,419,6103,419
2020-11-21,War Photographer,417,2666,417
2020-12-22,Cleveland versus Wall Street,417,2628,417
2020-12-11,Wilder,415,12921,415
2020-12-13,Seitentriebe,415,6449,415
2020-12-20,Seitentriebe,413,6686,413
2020-11-14,Station Horizon,411,8739,411
2020-12-26,Advent; Advent,411,5312,411
2021-01-07,Frieden,410,11507,410
2021-01-31,Seitentriebe,410,6993,410
2020-12-25,Advent; Advent,410,5718,410
2020-12-07,Wilder,409,14789,409
2020-12-14,Wilder,408,13297,408
2021-01-03,L heure du secret,407,10180,407
2021-02-17,Seitentriebe,407,6188,407
2021-01-12,Seitentriebe,406,6579,406
2021-01-16,Frieden,405,10306,405
2020-11-09,Die Buchenwald-Kinder – Eine Schweizer Hilfsaktion,403,8354,403
2021-01-14,Seitentriebe,403,6453,403
2021-03-10,Seitentriebe,403,2463,403
2021-01-02,L heure du secret,401,9787,401
2021-01-17,Frieden,400,11694,400
2020-12-31,Seitentriebe,400,7106,400
2020-12-11,Metta da fein,400,4887,400
2021-03-19,Es geschah am hellichten Tag,399,8205,399
2020-12-26,Quartier des banques,398,12554,398
2020-12-31,One More Jump,398,1893,398
2020-11-18,Quartier des banques,397,9178,397
2020-12-25,Quartier des banques,396,11465,396
2020-12-26,L heure du secret,394,10143,394
2021-02-23,Handyman,389,7337,389
